id,sku,productName
"-Op81mrKwpyAsHksqw17","FQ-27","Mandala Block  Print Queen Bedsheet with 2 Pillow Covers"
"-OpYOFTA9kC_cmMFyg2R","FQFT-118","Queen Fitted Bedsheet with 2 Pillow Covers"
"-OpYOFVNUOUzzALPZaQ3","FQFT-120","Queen Fitted Bedsheet with 2 Pillow Covers"
"-OpYOFXHlVhUaKAP4piw","FQFT-123","Queen Fitted Bedsheet with 2 Pillow Covers"
"-OpYOFZPK26usuw6IlCq","FQFT-27","Queen Fitted Bedsheet with 2 Pillow Covers"
"-OpYOFaWa5I8H3Rrdb1h","FQFT-63","Queen Fitted Bedsheet with 2 Pillow Covers"
"-OpYOFcSG7HoOeV8Y9E6","FQFT-72","Queen Fitted Bedsheet with 2 Pillow Covers"
"-OpYOFeSB3ysYIUQ64nr","FQFT-99","Queen Fitted Bedsheet with 2 Pillow Covers"
"-OpYOFgNDsz9-8l3fjPM","KD-01","Kids printed bedsheet with 2 pillow covers"
"-OpYOFiTotS606aAcPAo","KD-02","Kids printed bedsheet with 2 pillow covers"
"-OpYOFkUx9U1LCopHeCz","KD-04","Kids printed bedsheet with 1 pillow covers"
"-OpYOFmRTBIOm0l3-cxo","KDFT-01","Kids printed bedsheet with 2 pillow covers"
"-OpHOpSGnBah0FOZPVeQ","LN-504","LINEN SUPER KING WITH 2 PILLOW COVERS"
"-Oq9g6r_oqD_OIDVCW_B","PK-01","Posh Collection King Fitted Bedsheet With 2 Pillow Covers"
"-Op7zfkhKEbTQtiVt98e","PTL-203","PETAL COLLECTION MINIMALIST BOTANICAL PASTEL TONES 180 TC PERCALE QUEEN BEDSHEET WITH 2 PILLOW COVERS"
"-OpYOFor4lYIRZZbvhMi","RK-570","Rome collection King bedsheet with 2 pillow covers"
"-OpYOFqzsRqnx-Fepgft","RK-590","Rome Collection King Bedsheet with 2 Pillow Covers"
"-OpaVLGXlQYTUHHhXqcb","RQFT-503","QUEEN FITTED BEDSHEET WITH 2 PILLOW COVERS"
"-OpaVLHr8jvngaUlNaJz","RQFT-504","QUEEN FITTED BEDSHEET WITH 2 PILLOW COVERS"
"-OpaVLJBUE30fceduZku","RQFT-507","QUEEN FITTED BEDSHEET WITH 2 PILLOW COVERS"
"-OpaVLKWi-SEPhHUnHyQ","RQFT-510","QUEEN FITTED BEDSHEET WITH 2 PILLOW COVERS"
"-OpaVLLqgwbJh0EXFqpL","RQS-504","SINGLE BEDSHEET WITH 1 PILLOW COVER"
"-OpaVLN9hr0_Dufs-gRf","RQS-527","SINGLE BEDSHEET WITH 1 PILLOW COVER"
"-Oq9g6pfTP8LsrhrDYlq","STP-01","Rome Collection Queen Bedsheet with 2 Pillow Covers (STRIPE)"
"-OpaVLOXPtWNZxDF-wYJ","UC-201","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLPv3eGwFda57r2u","UC-202","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLRGn1lTqXvJRoAU","UC-203","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLSb3eURJVGIw7xH","UC-204","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLTvkhfcyCoXhzaN","UC-205","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLVJpBmGbPyyDGtf","UC-206","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLWecq-uFmDMV1I1","UC-207","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLXz9RFapJAEVVAM","UC-208","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLZKg-dbv1RhjYvr","UC-209","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVL_dDcPyp5HMNn35","UC-210","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLaypA9g7g5ogbxu","UC-211","REVERSIBLE DOUBLE BED ULTRASONIC COMFORTER"
"-OpaVLcI8r1eZPD_CWTT","UC-SB-201","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLdglVNQ3JWcFzlL","UC-SB-208","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLf1VfCZv-YRr4Bz","UC-SB-212","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLgMP4OBmwE9-zSZ","UC-SB-213","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLheLzdI7nGsmVqh","UC-SB-214","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLiyepDIOA3sxSBk","UC-SB-215","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLkI20I36wum-Q3O","UC-SB-216","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLlbyYf_nC2Iov-W","UC-SB-217","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLmvGUjJpVdwZIwt","UC-SB-218","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLoFSDfxUgRxt2qI","UC-SB-219","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLp_BMlCxrLT1WOK","UC-SB-220","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLqvDwwVkPeR7eME","UC-SB-221","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLsFG53NQ6u4YxBo","UC-SB-222","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLtYBQSYiM1DEsky","UC-SB-223","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLutrOfiUq6MTnGo","UC-SB-224","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLwBmhDvIMfm2yBF","UC-SB-225","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLxVeLS8KGGsyIBd","UC-SB-226","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVLynaSCm5-Vmkhdl","UC-SB-227","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVM-6hKMX_2-0sx_b","UC-SB-228","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVM0QOjG5rCRJ2IBg","UC-SB-229","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVM1jHt92fgBKOCZE","UC-SB-230","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
"-OpaVM34lYpPDsYYzaAZ","UC-SB-231","REVERSIBLE SINGLE BED ULTRASONIC COMFORTER"
